Instance,Income
112340,56276
112341,554515
112342,30492
112343,45017
112344,37893
112345,37223
112346,76838
112347,25600
112348,19727
112349,23762
112350,143442
112351,41953
112352,41448
112353,17715
112354,138377
112355,57459
112356,59614
112357,62284
112358,77304
112359,42620
112360,18982
112361,200837
112362,69664
112363,60224
112364,10356
112365,13384
112366,16233
112367,46982
112368,34797
112369,150995
112370,29062
112371,425709
112372,109509
112373,57280
112374,21795
112375,31273
112376,99199
112377,120229
112378,60481
112379,120288
112380,117834
112381,86203
112382,212849
112383,33105
112384,225862
112385,13075
112386,203455
112387,65277
112388,48812
112389,34291
112390,54146
112391,89375
112392,138491
112393,55180
112394,51822
112395,14302
112396,55945
112397,49546
112398,476453
112399,136452
112400,76888
112401,112457
112402,748707
112403,122391
112404,101687
112405,61872
112406,27578
112407,11247
112408,23168
112409,55891
112410,23165
112411,125409
112412,91370
112413,29465
112414,79365
112415,152022
112416,83685
112417,114208
112418,63990
112419,190215
112420,48057
112421,265029
112422,95454
112423,48508
112424,8892
112425,43155
112426,91939
112427,300511
112428,144495
112429,13837
112430,16847
112431,177200
112432,35641
112433,101579
112434,39768
112435,90080
112436,51051
112437,81636
112438,76647
112439,10824
112440,226484
112441,49210
112442,332728
112443,55257
112444,33915
112445,54490
112446,338349
112447,704601
112448,71608
112449,83245
112450,47075
112451,107186
112452,26333
112453,24531
112454,122283
112455,619336
112456,56913
112457,173613
112458,109217
112459,45068
112460,56641
112461,474136
112462,195671
112463,48289
112464,66904
112465,152078
112466,140758
112467,49308
112468,38024
112469,53194
112470,34501
112471,54406
112472,157600
112473,107459
112474,20680
112475,71896
112476,81499
112477,39306
112478,89931
112479,16567
112480,59506
112481,182163
112482,52094
112483,218723
112484,66511
112485,144488
112486,9423
112487,25745
112488,127669
112489,48654
112490,317851
112491,64651
112492,41325
112493,413141
112494,28204
112495,9354
112496,26272
112497,292269
112498,24206
112499,66800
112500,11616
112501,45401
112502,81418
112503,66173
112504,35537
112505,21072
112506,62862
112507,93575
112508,86341
112509,17991
112510,29502
112511,119867
112512,18111
112513,63386
112514,30123
112515,72104
112516,98736
112517,6360
112518,71571
112519,24293
112520,18931
112521,164538
112522,65363
112523,33004
112524,81427
112525,8502
112526,9185
112527,57794
112528,27744
112529,28893
112530,81303
112531,150310
112532,144628
112533,107333
112534,196475
112535,57749
112536,142315
112537,36484
112538,14948
112539,187199
112540,19272
112541,88637
112542,190623
112543,58354
112544,232409
112545,40407
112546,31842
112547,108658
112548,438361
112549,85634
112550,85672
112551,11947
112552,158526
112553,42372
112554,114343
112555,23318
112556,127535
112557,59649
112558,118392
112559,43187
112560,34851
112561,172197
112562,15606
112563,133287
112564,450925
112565,121916
112566,32652
112567,42246
112568,30453
112569,106212
112570,34057
112571,165670
112572,161010
112573,25863
112574,128398
112575,81196
112576,73669
112577,384811
112578,355484
112579,109996
112580,142562
112581,48105
112582,24982
112583,11954
112584,200978
112585,41612
112586,25014
112587,145990
112588,84444
112589,181202
112590,12483
112591,116550
112592,31447
112593,21463
112594,35501
112595,30742
112596,85621
112597,51168
112598,39787
112599,7369
112600,21911
112601,150557
112602,20595
112603,58954
112604,183296
112605,17868
112606,52860
112607,57183
112608,73752
112609,165916
112610,64799
112611,176547
112612,154495
112613,106624
112614,162015
112615,69409
112616,97851
112617,90363
112618,433647
112619,55063
112620,32353
112621,21979
112622,122367
112623,79344
112624,40228
112625,50927
112626,157981
112627,44011
112628,63248
112629,42666
112630,46833
112631,63463
112632,188783
112633,113199
112634,33449
112635,48959
112636,80300
112637,242375
112638,17502
112639,63434
112640,32631
112641,25028
112642,301187
112643,49956
112644,89616
112645,61966
112646,17628
112647,29614
112648,70564
112649,32921
112650,14301
112651,37883
112652,17454
112653,35946
112654,55559
112655,28297
112656,13796
112657,257461
112658,818262
112659,139606
112660,49231
112661,161820
112662,76310
112663,84127
112664,178508
112665,342745
112666,112235
112667,27632
112668,34926
112669,135140
112670,10979
112671,224870
112672,112889
112673,55008
112674,30444
112675,45567
112676,48678
112677,55007
112678,13221
112679,112219
112680,89198
112681,23594
112682,114326
112683,15908
112684,290332
112685,67649
112686,34141
112687,16330
112688,24968
112689,139792
112690,27131
112691,54535
112692,38344
112693,97749
112694,35751
112695,183315
112696,199250
112697,114131
112698,138310
112699,251778
112700,263543
112701,429175
112702,140741
112703,30907
112704,41949
112705,243533
112706,76800
112707,31254
112708,139668
112709,158892
112710,56758
112711,97524
112712,10399
112713,58405
112714,79504
112715,117843
112716,35873
112717,21339
112718,86808
112719,53591
112720,26393
112721,37466
112722,46956
112723,27126
112724,59212
112725,55130
112726,39154
112727,73094
112728,221848
112729,60522
112730,33032
112731,60507
112732,17094
112733,67518
112734,218140
112735,16060
112736,54954
112737,67255
112738,279343
112739,40388
112740,64758
112741,16029
112742,20432
112743,34289
112744,151816
112745,172872
112746,40099
112747,94543
112748,340378
112749,84359
112750,5808
112751,314640
112752,42678
112753,21955
112754,66498
112755,39794
112756,46287
112757,71418
112758,18905
112759,7389
112760,41515
112761,75078
112762,340755
112763,27391
112764,171653
112765,88409
112766,73823
112767,407527
112768,21948
112769,131231
112770,46514
112771,75307
112772,18298
112773,127851
112774,21897
112775,60543
112776,30207
112777,25919
112778,968862
112779,183792
112780,190567
112781,92744
112782,41679
112783,40648
112784,32244
112785,17659
112786,85394
112787,63663
112788,33278
112789,71945
112790,148247
112791,148862
112792,10509
112793,60922
112794,687204
112795,28681
112796,47505
112797,57778
112798,67208
112799,116950
112800,32652
112801,18293
112802,195674
112803,454526
112804,26419
112805,60835
112806,12774
112807,22780
112808,326970
112809,22609
112810,170327
112811,157019
112812,109041
112813,193870
112814,61644
112815,53951
112816,31509
112817,74943
112818,49707
112819,82801
112820,308548
112821,34504
112822,40047
112823,92562
112824,36711
112825,25151
112826,130880
112827,26374
112828,70835
112829,25585
112830,76187
112831,95792
112832,94225
112833,138719
112834,62706
112835,121169
112836,41982
112837,103393
112838,418625
112839,44940
112840,122690
112841,84657
112842,204246
112843,67239
112844,24637
112845,51258
112846,297883
112847,51125
112848,166674
112849,110791
112850,235435
112851,197630
112852,33283
112853,341790
112854,36630
112855,241916
112856,43946
112857,30301
112858,45322
112859,141580
112860,35488
112861,198103
112862,12395
112863,81118
112864,182154
112865,6802
112866,244612
112867,13799
112868,53618
112869,102487
112870,80984
112871,139773
112872,29444
112873,195960
112874,96168
112875,91209
112876,236719
112877,69585
112878,260514
112879,337050
112880,67854
112881,28306
112882,627313
112883,18742
112884,23586
112885,68796
112886,83643
112887,15675
112888,98082
112889,84841
112890,137955
112891,108961
112892,61030
112893,34294
112894,248355
112895,18136
112896,4819
112897,33423
112898,178009
112899,26153
112900,66998
112901,78050
112902,28469
112903,200948
112904,233198
112905,83760
112906,52730
112907,5179
112908,3420
112909,494154
112910,124084
112911,71010
112912,21496
112913,98052
112914,14406
112915,187821
112916,239639
112917,72941
112918,82158
112919,46940
112920,34485
112921,19091
112922,216982
112923,105762
112924,65390
112925,195564
112926,15176
112927,21102
112928,33207
112929,80524
112930,542727
112931,51123
112932,189521
112933,19388
112934,72882
112935,71025
112936,113068
112937,404588
112938,81355
112939,19850
112940,45423
112941,460527
112942,24655
112943,299565
112944,46559
112945,121263
112946,56349
112947,51961
112948,48148
112949,47838
112950,151587
112951,50351
112952,21856
112953,46974
112954,60226
112955,23398
112956,21250
112957,11817
112958,495406
112959,38451
112960,55041
112961,260184
112962,75058
112963,109625
112964,14052
112965,41288
112966,1093503
112967,40302
112968,20147
112969,39500
112970,19777
112971,76632
112972,169395
112973,46266
112974,80897
112975,38482
112976,31510
112977,13649
112978,103547
112979,236893
112980,839327
112981,178607
112982,46348
112983,108276
112984,22100
112985,18351
112986,36508
112987,14582
112988,48173
112989,77041
112990,71406
112991,25592
112992,19455
112993,92024
112994,12994
112995,158844
112996,24746
112997,394818
112998,46709
112999,40283
113000,21430
113001,36128
113002,22803
113003,83695
113004,100036
113005,17312
113006,48817
113007,26266
113008,21903
113009,29928
113010,23261
113011,38409
113012,18162
113013,41557
113014,96788
113015,140833
113016,339257
113017,72498
113018,46440
113019,148372
113020,42135
113021,45836
113022,58932
113023,55977
113024,52683
113025,13555
113026,9611
113027,39119
113028,29518
113029,189740
113030,45946
113031,49358
113032,9852
113033,97958
113034,36863
113035,36981
113036,192286
113037,94443
113038,104654
113039,82082
113040,37451
113041,14578
113042,226963
113043,26250
113044,317507
113045,664164
113046,47304
113047,14182
113048,46048
113049,131253
113050,99055
113051,106565
113052,20124
113053,69986
113054,55508
113055,41366
113056,71759
113057,31799
113058,19837
113059,73000
113060,77260
113061,42279
113062,57614
113063,248344
113064,82423
113065,34558
113066,20227
113067,81785
113068,88888
113069,15998
113070,107723
113071,193444
113072,31492
113073,291479
113074,147104
113075,33917
113076,100430
113077,53690
113078,46863
113079,56606
113080,67264
113081,154601
113082,27725
113083,46631
113084,81783
113085,30131
113086,191238
113087,623419
113088,38450
113089,192938
113090,21858
113091,58277
113092,73074
113093,43940
113094,149956
113095,150025
113096,34220
113097,48262
113098,216630
113099,11942
113100,42858
113101,385966
113102,269284
113103,46686
113104,30658
113105,15499
113106,122543
113107,125997
113108,184937
113109,18202
113110,63776
113111,121400
113112,90768
113113,124708
113114,35260
113115,70529
113116,84469
113117,218418
113118,7149
113119,266334
113120,77119
113121,29965
113122,120596
113123,369401
113124,22915
113125,160449
113126,117593
113127,152850
113128,32231
113129,163190
113130,128519
113131,63253
113132,105151
113133,85938
113134,365751
113135,76621
113136,104993
113137,24126
113138,78778
113139,109598
113140,131404
113141,94155
113142,18954
113143,46685
113144,206925
113145,103303
113146,75944
113147,20946
113148,160409
113149,35203
113150,26901
113151,35541
113152,45783
113153,178807
113154,95399
113155,60733
113156,389193
113157,152224
113158,38365
113159,196540
113160,23702
113161,196839
113162,128218
113163,13500
113164,57801
113165,259157
113166,19692
113167,152074
113168,37419
113169,43807
113170,295749
113171,50784
113172,119359
113173,19073
113174,94368
113175,65096
113176,100402
113177,86211
113178,32536
113179,10881
113180,73577
113181,44699
113182,24543
113183,50561
113184,42171
113185,86367
113186,128495
113187,156828
113188,21720
113189,144111
113190,30524
113191,16636
113192,16159
113193,121426
113194,31984
113195,536542
113196,30628
113197,614052
113198,161931
113199,47979
113200,37049
113201,22687
113202,15642
113203,22148
113204,96324
113205,712633
113206,74410
113207,25442
113208,225650
113209,139945
113210,131383
113211,32722
113212,77244
113213,75792
113214,34119
113215,90602
113216,67543
113217,32467
113218,45186
113219,11611
113220,127773
113221,28729
113222,28304
113223,146277
113224,29998
113225,109323
113226,31903
113227,61310
113228,35382
113229,5870
113230,36218
113231,35532
113232,225958
113233,77286
113234,42212
113235,226506
113236,59660
113237,194331
113238,88117
113239,29092
113240,83782
113241,115092
113242,109438
113243,96668
113244,41468
113245,76534
113246,67881
113247,95691
113248,69427
113249,81065
113250,386061
113251,69482
113252,20873
113253,16836
113254,95675
113255,227609
113256,30952
113257,148441
113258,37855
113259,25620
113260,83339
113261,22105
113262,67437
113263,661972
113264,7246
113265,61452
113266,102873
113267,81100
113268,208870
113269,35865
113270,29885
113271,179423
113272,32372
113273,64432
113274,198749
113275,26872
113276,18708
113277,3077
113278,452329
113279,105720
113280,86960
113281,162760
113282,95292
113283,87454
113284,425568
113285,27911
113286,73087
113287,145082
113288,89783
113289,83713
113290,49629
113291,28084
113292,388093
113293,7969
113294,33029
113295,373886
113296,39290
113297,31912
113298,60044
113299,55489
113300,68069
113301,25011
113302,123760
113303,60783
113304,156505
113305,46920
113306,15197
113307,155721
113308,58396
113309,75275
113310,27222
113311,60403
113312,33932
113313,146197
113314,24850
113315,97460
113316,45028
113317,177530
113318,25986
113319,52112
113320,81438
113321,26565
113322,51263
113323,49485
113324,6690
113325,20288
113326,28027
113327,85881
113328,35569
113329,284902
113330,164799
113331,11517
113332,25006
113333,171815
113334,34975
113335,9208
113336,123254
113337,31135
113338,84654
113339,24898
113340,85951
113341,136023
113342,82205
113343,28117
113344,39020
113345,13089
113346,64480
113347,84180
113348,135837
113349,48381
113350,35780
113351,157615
113352,31220
113353,100955
113354,32131
113355,184111
113356,81025
113357,8456
113358,106446
113359,9977
113360,242680
113361,149383
113362,167119
113363,62175
113364,43980
113365,87143
113366,32740
113367,73047
113368,32942
113369,106691
113370,30685
113371,107880
113372,39520
113373,90342
113374,233515
113375,128038
113376,69061
113377,19345
113378,122726
113379,222677
113380,31783
113381,123057
113382,235720
113383,32656
113384,137368
113385,208504
113386,41037
113387,163998
113388,60373
113389,40679
113390,137178
113391,31594
113392,26256
113393,62514
113394,23371
113395,67149
113396,17163
113397,29062
113398,66226
113399,67981
113400,388872
113401,28718
113402,167610
113403,139067
113404,21497
113405,48717
113406,25295
113407,206095
113408,152158
113409,78192
113410,13694
113411,55333
113412,61232
113413,590177
113414,46673
113415,7779
113416,100273
113417,486187
113418,319062
113419,32932
113420,16641
113421,43204
113422,131379
113423,51571
113424,64240
113425,42616
113426,128180
113427,141488
113428,175918
113429,152378
113430,198345
113431,147172
113432,41038
113433,45437
113434,19784
113435,25866
113436,98704
113437,39319
113438,35010
113439,91099
113440,101497
113441,21028
113442,144824
113443,186682
113444,128184
113445,77169
113446,22886
113447,38563
113448,25213
113449,142971
113450,110052
113451,52616
113452,162822
113453,169690
113454,264252
113455,46971
113456,38192
113457,48782
113458,256658
113459,38986
113460,41956
113461,7111
113462,31024
113463,17401
113464,90428
113465,2326
113466,22719
113467,32649
113468,102758
113469,36083
113470,53300
113471,23957
113472,693489
113473,245738
113474,52525
113475,41854
113476,38499
113477,107853
113478,312128
113479,194034
113480,165238
113481,294968
113482,47572
113483,27641
113484,100004
113485,91774
113486,11385
113487,100881
113488,24236
113489,31980
113490,107389
113491,227775
113492,16539
113493,98034
113494,36402
113495,178924
113496,55514
113497,166846
113498,54919
113499,37589
113500,79344
113501,46251
113502,67716
113503,38365
113504,251248
113505,15622
113506,6929
113507,143167
113508,194774
113509,27743
113510,198681
113511,137236
113512,44350
113513,42305
113514,133080
113515,27305
113516,437973
113517,8252
113518,48837
113519,150176
113520,341611
113521,242653
113522,34900
113523,39145
113524,83172
113525,88227
113526,38700
113527,50845
113528,53544
113529,36436
113530,74848
113531,131294
113532,35925
113533,182605
113534,365069
113535,55799
113536,83040
113537,111727
113538,110714
113539,30520
113540,94291
113541,27469
113542,372870
113543,6335
113544,76027
113545,133161
113546,176746
113547,30002
113548,17888
113549,40197
113550,106643
113551,31304
113552,53618
113553,54525
113554,358408
113555,99696
113556,79877
113557,44406
113558,32356
113559,163209
113560,51724
113561,90704
113562,70253
113563,308145
113564,29085
113565,32229
113566,170267
113567,301073
113568,297030
113569,196258
113570,325554
113571,22957
113572,202789
113573,33537
113574,27561
113575,18002
113576,183225
113577,28846
113578,61453
113579,251663
113580,96424
113581,345743
113582,29444
113583,93569
113584,28748
113585,133395
113586,19869
113587,52268
113588,165207
113589,30010
113590,268060
113591,124045
113592,21595
113593,39414
113594,77526
113595,324404
113596,237462
113597,35549
113598,43191
113599,38803
113600,145484
113601,30749
113602,115696
113603,32828
113604,50297
113605,41473
113606,127093
113607,75512
113608,150929
113609,24334
113610,58880
113611,195976
113612,315595
113613,85250
113614,14697
113615,20646
113616,100466
113617,79121
113618,275008
113619,211065
113620,67351
113621,98135
113622,13793
113623,17161
113624,238194
113625,127758
113626,61328
113627,64618
113628,36798
113629,21368
113630,81430
113631,41853
113632,28848
113633,33624
113634,509405
113635,63618
113636,102312
113637,11599
113638,63014
113639,70487
113640,63663
113641,74066
113642,217603
113643,64085
113644,516465
113645,221619
113646,235203
113647,49037
113648,79886
113649,17197
113650,14880
113651,62669
113652,35645
113653,124448
113654,109405
113655,79455
113656,139191
113657,505133
113658,16355
113659,122775
113660,19613
113661,137085
113662,91616
113663,71468
113664,15733
113665,451046
113666,40150
113667,58005
113668,125968
113669,35910
113670,83636
113671,135386
113672,169203
113673,130040
113674,350846
113675,286072
113676,84916
113677,21707
113678,70782
113679,179100
113680,61370
113681,22392
113682,25825
113683,35646
113684,116978
113685,41236
113686,85113
113687,50932
113688,80832
113689,28049
113690,31722
113691,117792
113692,25716
113693,213489
113694,132516
113695,45112
113696,98625
113697,310792
113698,48705
113699,34872
113700,117984
113701,160689
113702,167820
113703,66852
113704,47644
113705,76744
113706,376078
113707,40435
113708,98218
113709,19856
113710,113964
113711,143849
113712,13244
113713,42553
113714,39277
113715,29499
113716,21253
113717,771913
113718,80783
113719,32820
113720,47648
113721,18753
113722,215961
113723,168999
113724,99450
113725,211278
113726,25456
113727,54722
113728,40035
113729,7019
113730,71892
113731,41791
113732,115318
113733,74624
113734,76393
113735,13499
113736,32714
113737,43604
113738,47355
113739,23515
113740,41880
113741,38946
113742,310125
113743,143261
113744,76291
113745,45526
113746,30411
113747,31289
113748,87310
113749,166500
113750,83800
113751,82916
113752,39706
113753,220934
113754,239316
113755,49290
113756,53667
113757,104434
113758,217472
113759,56585
113760,18200
113761,41375
113762,28715
113763,92507
113764,150361
113765,172568
113766,92936
113767,55696
113768,30060
113769,47633
113770,142061
113771,67741
113772,94088
113773,28056
113774,78383
113775,29810
113776,44322
113777,206513
113778,209941
113779,81665
113780,36816
113781,275190
113782,47460
113783,50084
113784,39841
113785,15762
113786,15842
113787,313183
113788,946704
113789,110965
113790,119732
113791,43645
113792,192110
113793,74093
113794,138218
113795,160476
113796,31231
113797,39131
113798,8773
113799,74199
113800,187179
113801,780019
113802,38217
113803,27742
113804,66484
113805,117498
113806,111057
113807,101102
113808,335262
113809,24774
113810,21399
113811,128634
113812,123954
113813,76511
113814,33402
113815,36910
113816,42190
113817,52916
113818,101605
113819,73924
113820,79008
113821,47028
113822,48492
113823,172694
113824,39538
113825,50713
113826,244467
113827,436700
113828,130994
113829,111500
113830,49058
113831,133550
113832,9889
113833,56230
113834,26862
113835,68020
113836,40080
113837,25926
113838,57399
113839,31438
113840,13185
113841,17264
113842,54091
113843,24019
113844,227264
113845,27811
113846,52105
113847,223492
113848,95746
113849,37405
113850,41783
113851,85301
113852,217226
113853,191884
113854,11854
113855,27352
113856,10213
113857,32339
113858,196355
113859,193986
113860,247278
113861,72535
113862,12577
113863,67477
113864,107080
113865,422444
113866,88044
113867,51900
113868,13486
113869,17308
113870,117683
113871,58714
113872,142047
113873,55085
113874,279392
113875,497820
113876,32460
113877,97773
113878,18893
113879,41423
113880,66640
113881,70175
113882,140274
113883,37775
113884,45632
113885,53313
113886,29254
113887,147520
113888,57683
113889,338081
113890,28361
113891,410787
113892,48892
113893,29007
113894,13334
113895,165459
113896,22734
113897,110883
113898,329301
113899,16292
113900,66519
113901,53119
113902,15178
113903,61094
113904,65352
113905,20087
113906,32704
113907,29712
113908,28205
113909,141418
113910,130667
113911,316561
113912,59118
113913,20699
113914,10806
113915,153777
113916,235235
113917,75956
113918,197624
113919,14098
113920,43651
113921,21859
113922,94483
113923,9591
113924,108128
113925,163388
113926,25195
113927,62288
113928,304168
113929,334892
113930,84599
113931,433800
113932,188981
113933,148015
113934,148504
113935,120534
113936,342465
113937,90622
113938,144388
113939,55595
113940,97154
113941,30306
113942,23658
113943,58525
113944,100912
113945,19940
113946,17894
113947,23166
113948,43396
113949,116074
113950,15271
113951,64153
113952,43870
113953,70220
113954,101673
113955,9595
113956,22185
113957,29109
113958,85671
113959,10055
113960,24548
113961,79999
113962,76711
113963,90774
113964,56117
113965,33598
113966,198046
113967,8294
113968,400731
113969,13819
113970,70563
113971,28442
113972,25413
113973,112749
113974,92288
113975,55254
113976,45184
113977,71363
113978,69511
113979,112295
113980,18513
113981,108008
113982,49285
113983,195863
113984,81393
113985,51042
113986,233376
113987,166394
113988,477403
113989,35996
113990,294302
113991,183480
113992,59151
113993,51364
113994,32052
113995,193833
113996,31861
113997,258726
113998,422361
113999,59184
114000,30555
114001,23617
114002,141355
114003,45071
114004,16587
114005,35576
114006,35681
114007,203340
114008,42448
114009,137798
114010,28766
114011,437395
114012,40228
114013,49063
114014,153286
114015,15771
114016,61712
114017,8332
114018,57598
114019,62607
114020,46080
114021,33206
114022,50551
114023,71527
114024,408780
114025,103616
114026,26307
114027,41385
114028,50189
114029,3911
114030,40713
114031,38472
114032,392155
114033,109271
114034,36635
114035,145050
114036,25096
114037,38832
114038,39198
114039,249713
114040,8114
114041,62581
114042,131646
114043,178848
114044,48798
114045,141968
114046,105316
114047,15709
114048,109534
114049,51200
114050,27435
114051,37375
114052,172144
114053,32101
114054,239905
114055,84115
114056,106550
114057,44055
114058,68228
114059,57810
114060,9722
114061,36899
114062,48426
114063,50909
114064,25529
114065,278203
114066,19933
114067,157931
114068,108965
114069,52127
114070,197326
114071,106285
114072,116787
114073,40332
114074,127530
114075,65393
114076,80060
114077,41232
114078,59440
114079,87640
114080,64689
114081,97378
114082,125639
114083,91671
114084,87260
114085,87298
114086,503403
114087,73149
114088,77588
114089,33155
114090,35826
114091,224886
114092,14515
114093,143207
114094,42342
114095,191173
114096,223850
114097,10370
114098,30300
114099,104467
114100,22956
114101,105733
114102,98995
114103,51222
114104,59128
114105,9226
114106,27503
114107,33174
114108,17649
114109,48181
114110,220786
114111,45359
114112,42770
114113,30023
114114,42885
114115,159135
114116,10516
114117,29122
114118,65031
114119,42593
114120,25481
114121,91711
114122,71347
114123,111582
114124,39614
114125,52782
114126,48210
114127,42301
114128,62991
114129,18716
114130,325399
114131,21630
114132,113319
114133,50355
114134,71374
114135,382560
114136,10903
114137,86559
114138,29008
114139,132086
114140,129320
114141,120187
114142,30661
114143,10780
114144,320209
114145,53511
114146,32350
114147,132323
114148,165081
114149,35383
114150,43262
114151,306877
114152,68537
114153,16846
114154,171255
114155,14062
114156,85726
114157,45873
114158,135656
114159,14876
114160,79773
114161,32562
114162,112932
114163,64359
114164,33717
114165,288394
114166,57104
114167,56553
114168,523685
114169,155233
114170,44495
114171,26122
114172,34066
114173,111312
114174,91197
114175,438293
114176,199958
114177,107023
114178,21297
114179,35616
114180,30256
114181,67889
114182,72729
114183,16810
114184,26774
114185,445284
114186,89728
114187,317192
114188,6198
114189,74069
114190,105745
114191,29635
114192,150413
114193,110660
114194,34692
114195,94216
114196,20265
114197,210397
114198,30949
114199,24285
114200,67014
114201,172091
114202,123298
114203,101496
114204,238499
114205,62858
114206,52331
114207,14893
114208,118023
114209,60998
114210,117645
114211,434670
114212,15422
114213,101580
114214,63370
114215,152455
114216,101655
114217,307465
114218,45493
114219,167211
114220,117205
114221,69342
114222,89112
114223,9692
114224,18680
114225,146737
114226,50457
114227,37228
114228,30441
114229,9938
114230,7640
114231,12432
114232,27450
114233,86799
114234,105372
114235,237245
114236,59267
114237,136538
114238,24420
114239,591423
114240,30430
114241,59754
114242,13144
114243,21841
114244,283629
114245,25707
114246,49539
114247,81091
114248,37008
114249,18131
114250,22942
114251,6792
114252,172564
114253,97556
114254,187995
114255,85646
114256,57459
114257,62273
114258,55696
114259,117503
114260,50860
114261,231368
114262,74924
114263,95819
114264,95425
114265,25825
114266,47985
114267,39195
114268,476784
114269,14715
114270,107896
114271,77750
114272,156069
114273,42544
114274,21680
114275,36942
114276,51709
114277,54061
114278,27236
114279,45356
114280,37768
114281,46102
114282,44831
114283,15870
114284,40218
114285,85504
114286,20762
114287,53028
114288,57074
114289,65314
114290,80519
114291,45977
114292,42962
114293,48638
114294,26995
114295,18389
114296,15689
114297,109505
114298,68984
114299,17242
114300,92214
114301,26458
114302,17093
114303,24185
114304,77564
114305,37237
114306,302214
114307,17502
114308,92680
114309,246661
114310,177923
114311,274642
114312,62810
114313,37500
114314,45165
114315,24362
114316,37909
114317,265587
114318,157097
114319,66181
114320,11447
114321,39119
114322,73071
114323,104556
